source_id,raw_u-g,raw_g-r,raw_r-i,raw_i-z,u-g,g-r,r-i,i-z,r_mag,concentration_r,z_spec,z_spec_err,is_valid
93522,1.2306000000000026,1.584859999999999,1.1646499999999982,0.41037000000000035,1.2239128800000039,1.5775870399999974,1.1604562600000001,0.4072622000000017,21.04665513,2.5203831705685853,0.5690019,0.0001504438,False
48663,1.5219300000000011,0.8535599999999981,0.41995999999999967,0.3424700000000023,1.5005563200000012,0.8303138299999979,0.40655577000000065,0.33253672000000023,16.91046171,2.425161652109359,0.133225,2.098384e-05,False
21193,3.01952,1.4296100000000003,0.65625,0.4928699999999999,2.8842287000000013,1.2824661999999982,0.5714038000000023,0.4299943000000006,17.8274815,2.974404262928744,0.2257889,4.482377e-05,False
38208,1.6439500000000002,0.7408400000000004,0.3840399999999988,0.2944800000000001,1.6313720200000006,0.7271601099999998,0.3761518800000001,0.28863446999999987,14.08328414,2.065141267748197,0.01771949,1.355761e-05,False
58842,2.0499599999999987,1.0389000000000017,0.4590999999999994,0.38093999999999895,2.0359753299999994,1.0236901900000035,0.4503296999999975,0.37444071999999906,16.419810079999998,3.345740185852456,0.1021383,2.958311e-05,False
88818,1.7296300000000002,0.8091700000000017,0.41056000000000026,0.33230000000000004,1.7008031999999993,0.7778178500000017,0.39248167000000045,0.3189029399999992,16.05688695,2.5651342221850815,0.07094716,1.214914e-05,False
92813,1.2204200000000007,0.45899999999999963,0.30035000000000167,0.20242000000000004,1.2096032700000023,0.4472356399999988,0.29356643000000204,0.1973929899999991,16.36113376,2.0048209716360303,0.07623418,8.716869e-06,False
61310,1.9608600000000003,1.16376,0.47295000000000087,0.2902200000000015,1.9409948999999997,1.1421545799999997,0.4604918600000012,0.28098782000000355,17.370394530000002,2.6443338970981545,0.1757713,3.155608e-05,False
60689,1.1453600000000002,0.4099000000000004,0.34965000000000046,0.1671900000000015,1.1199912799999971,0.38230878000000246,0.33374033000000125,0.1554000500000008,17.17904884,2.8120901822600572,0.07802323,6.733661e-06,False
7513,1.1406799999999997,0.4704000000000015,0.2611699999999999,0.14528999999999925,1.1199760099999985,0.44788220000000223,0.24818576000000192,0.13566794999999843,16.25529659,1.8751082431901027,0.02390213,1.505196e-05,True
22998,1.9204800000000013,0.8611599999999999,0.4028399999999994,0.3135400000000015,1.889703400000002,0.8276872100000006,0.38353886999999887,0.29923678000000287,15.49801699,2.694880335073397,0.05014957,1.332347e-05,False
13561,1.5416599999999967,0.7637,0.39110000000000156,0.29961000000000126,1.529676209999998,0.7506663499999995,0.383584520000003,0.2940406099999997,16.689074700000003,2.103200413971487,0.1156531,2.227482e-05,False
25220,2.027619999999999,0.9607199999999985,0.41075000000000017,0.39306000000000196,1.9784632999999978,0.907256799999999,0.37992201999999864,0.37021473000000427,17.7248267,2.5973258962313794,0.1039495,2.92398e-05,True
32494,1.8804300000000005,1.1631500000000017,0.4963399999999982,0.39623000000000097,1.837394200000002,1.1163439000000004,0.46935063999999826,0.37622935999999996,16.3775092,3.2734059750902826,0.1486322,2.823741e-05,False
77484,1.7538899999999984,0.8424600000000027,0.3783299999999983,0.27731999999999957,1.7392358699999981,0.8265220700000029,0.3691398499999998,0.27050958999999963,17.52731575,2.626471303871772,0.07028223,2.4483e-05,False
35296,1.3832800000000027,1.7697899999999969,0.9566499999999998,0.5236600000000031,1.3386903000000032,1.721293799999998,0.9286861199999983,0.5029371900000044,19.9816657,2.1684899652565193,0.5076854,0.000109153,True
53528,0.6759400000000007,1.0687500000000014,0.5160599999999995,0.37335999999999814,0.6725397999999991,1.0650519050000042,0.5139276039999991,0.3717797739999966,18.364859274999997,2.698053840781336,0.27647,4.528326e-05,False
95950,1.0739100000000015,0.37476999999999805,0.1933000000000007,0.15647000000000233,1.0497881199999988,0.34853485000000006,0.1781722600000002,0.14525949000000082,17.13899263,2.3008639823686634,0.02443373,6.585991e-06,False
8774,1.302340000000001,0.55945,0.2943100000000012,0.2545599999999997,1.2865092199999992,0.5422323400000018,0.28438194000000117,0.24720274999999958,15.72442329,2.4194368662828962,0.02949588,1.193991e-05,False
79088,0.5541000000000018,0.04241000000000028,0.20696999999999832,-0.26136999999999944,0.5208228000000013,0.006217410000001422,0.1861006099999969,-0.27683537999999785,20.68043229,1.6435347613613347,0.03391556,8.600997e-06,False
84852,1.0803100000000008,0.3809900000000006,0.27020999999999873,0.13063000000000002,1.0496914000000004,0.34768906000000044,0.25100795999999903,0.11640022000000272,17.37901274,2.483338561409372,0.07215717,4.855561e-06,False
52387,1.30462,1.8568200000000026,0.9775399999999976,0.5538300000000014,1.2835136899999995,1.8338646200000035,0.9643034599999964,0.5440209700000018,20.456004439999997,2.4715301183041487,0.6032751,0.0002406249,False
172,2.149000000000001,1.1734100000000005,0.4773299999999985,0.35023000000000337,2.1234222900000006,1.1455914800000002,0.4612892600000009,0.3383429100000015,17.63002863,3.1816352647042105,0.1610736,3.736318e-05,False
25799,0.14877999999999858,1.713230000000003,1.048689999999997,0.5555800000000026,0.12952325999999914,1.6922862400000014,1.0366133799999986,0.5466305500000033,20.32230967,2.3663392679208757,0.5504935,0.0002382775,False
92501,2.0267700000000026,1.0955699999999986,0.482289999999999,0.3522999999999996,2.009212690000002,1.0764745599999976,0.4712791600000017,0.34414035,17.0999684,2.620680480765933,0.1477027,3.121571e-05,False
46001,1.6876300000000022,1.0527300000000004,0.7125500000000002,0.22481999999999758,1.6604012600000004,1.0231159000000005,0.6954738800000015,0.2121656399999985,19.51708824,1.7002478487343322,0.08959149,1.275691e-05,True
7329,1.4373499999999986,0.7704800000000027,0.41291999999999973,0.27413999999999916,1.41173049,0.7426160800000012,0.39685309000000046,0.26223350999999795,17.04071673,2.322348497666546,0.1353424,1.018186e-05,False
24909,1.9283099999999997,1.255279999999999,0.4970700000000008,0.36488999999999905,1.8916188999999974,1.2153745799999989,0.4740596800000034,0.3478380599999973,17.164328320000003,3.4013535489338667,0.1909425,3.661323e-05,False
95743,1.2763899999999992,0.7735300000000009,0.3965999999999994,0.2833800000000011,1.2668941300000007,0.763202230000001,0.39064478999999963,0.2789668600000006,17.50954831,2.048638443159404,0.1388738,1.246887e-05,True
40247,1.0306800000000003,0.49587999999999965,0.3345400000000005,0.16061000000000192,1.0091855899999977,0.4725025400000007,0.32106006000000065,0.1506206100000007,17.001816990000002,1.9893470999829341,0.06944764,7.051651e-06,False
75062,2.05208,1.0449200000000012,0.4256499999999992,0.37889000000000017,2.0363948700000023,1.0278607400000013,0.41581326999999746,0.37160043000000087,16.229648819999998,3.27219279530306,0.1323487,2.187276e-05,True
